t,personal_consumption_QoQ_change_annual
2015-04-01,0.019874665201955466
2015-07-01,0.02466399240390338
2015-10-01,0.03305507503207772
2016-01-01,0.026324879532591217
2016-04-01,-0.006264050424923839
2016-07-01,0.018999963963775013
2016-10-01,0.03126465526571476
2017-01-01,0.01052263561490041
2017-04-01,0.033319056457011165
2017-07-01,-0.0038347190066466696
2017-10-01,0.0346524379923685
2018-01-01,0.007644494615382413
2018-04-01,0.01299677148650824
2018-07-01,-0.004164492003122966
2018-10-01,0.037330625702253206
2019-01-01,0.020083689610742805
2019-04-01,0.012407615939682426
2019-07-01,0.02067892328166443
2019-10-01,-0.0011131208049491859
2020-01-01,-0.1559234334319881
2020-04-01,-0.3616213981226173
2020-07-01,0.5477421133713807
2020-10-01,-0.07766840835383759
2021-01-01,-0.13455912719167185
2021-04-01,0.10679281747542513
2021-07-01,0.20900110907618852
2021-10-01,0.027412862736532206
2022-01-01,0.11430523494768896
2022-04-01,0.008525179987644016
2022-07-01,0.02982366382672219
2022-10-01,-0.054832832536387266
2023-01-01,-0.006664792122968111
2023-04-01,0.036556910618789296
2023-07-01,-0.024461440934407386
2023-10-01,-0.0033328675375234873
2024-01-01,0.014551321114876448
2024-04-01,0.004815474929076302
2024-07-01,0.008149615228701057
2024-10-01,0.016688713156555623
2025-01-01,0.03382130832184349
2025-04-01,0.014271765716653118
2025-07-01,0.00145164193139391
2025-10-01,0.020827876705443504
